Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Culicidae-Anopheles-Anopheles sinensis,2
Eukaryota-Metazoa-Chordata-Actinopteri-Characiformes-Characidae-Astyanax-Astyanax mexicanus,7
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Galagidae-Otolemur-Otolemur garnettii,6
Eukaryota-Metazoa-Chordata-Aves-Galliformes-Phasianidae-Gallus-Gallus gallus,2
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Drosophilidae-Drosophila-Drosophila ananassae,14
Eukaryota-Metazoa-Arthropoda-Insecta-Hymenoptera-Formicidae-Harpegnathos-Harpegnathos saltator,1
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Drosophilidae-Drosophila-Drosophila persimilis,14
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Drosophilidae-Drosophila-Drosophila virilis,14
Eukaryota-Metazoa-Chordata-Actinopteri-Beloniformes-Adrianichthyidae-Oryzias-Oryzias latipes,4
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Drosophilidae-Drosophila-Drosophila simulans,11
Eukaryota-Metazoa-Chordata-no classes-Testudines-Cheloniidae-Chelonia-Chelonia mydas,7
Eukaryota-Metazoa-Chordata-Mammalia-Rodentia-Bathyergidae-Heterocephalus-Heterocephalus glaber,5
Eukaryota-Metazoa-Arthropoda-Insecta-Hymenoptera-Formicidae-Camponotus-Camponotus floridanus,2
Eukaryota-Metazoa-Chordata-Actinopteri-Tetraodontiformes-Tetraodontidae-Takifugu-Takifugu rubripes,1
Eukaryota-Metazoa-Chordata-Mammalia-Carnivora-Ursidae-Ailuropoda-Ailuropoda melanoleuca,4
Eukaryota-Metazoa-Chordata-Mammalia-Monotremata-Ornithorhynchidae-Ornithorhynchus-Ornithorhynchus anatinus,10
Eukaryota-Metazoa-Arthropoda-Insecta-Coleoptera-Tenebrionidae-Tribolium-Tribolium castaneum,4
